Class1,Class2,Similarity
budget,resume,0.5493204593658447
budget,memo,0.5700628757476807
invoice,letter,0.6140902042388916
invoice,form,0.6110743284225464
invoice,email,0.6414969563484192
invoice,handwritten,0.5873871445655823
invoice,advertisement,0.5563016533851624
invoice,scientific report,0.5783113241195679
invoice,scientific publication,0.5847072601318359
invoice,specification,0.5299414396286011
invoice,file folder,0.5789961218833923
invoice,news article,0.5707935690879822
invoice,budget,0.5669963359832764
invoice,presentation,0.5736439228057861
invoice,questionnaire,0.5662639141082764
invoice,resume,0.5841647386550903
invoice,memo,0.6125537157058716
presentation,letter,0.6332848072052002
presentation,form,0.5834322571754456
presentation,email,0.6582608222961426
presentation,handwritten,0.5858430862426758
presentation,advertisement,0.5474478006362915
presentation,scientific report,0.589339017868042
presentation,scientific publication,0.6087354421615601
presentation,specification,0.507154643535614
presentation,file folder,0.5947952270507812
presentation,news article,0.5877989530563354
presentation,budget,0.5462576150894165
presentation,invoice,0.5736439228057861
presentation,questionnaire,0.5567306280136108
presentation,resume,0.6006765365600586
presentation,memo,0.6284281015396118
questionnaire,letter,0.5951840281486511
questionnaire,form,0.5836363434791565
questionnaire,email,0.6171932220458984
questionnaire,handwritten,0.5587562322616577
questionnaire,advertisement,0.523919939994812
questionnaire,scientific report,0.5583800673484802
questionnaire,scientific publication,0.5662378072738647
questionnaire,specification,0.5104520916938782
questionnaire,file folder,0.5461679697036743
questionnaire,news article,0.5452552437782288
questionnaire,budget,0.5292484164237976
questionnaire,invoice,0.5662639141082764
questionnaire,presentation,0.5567306280136108
questionnaire,resume,0.5696935057640076
questionnaire,memo,0.5987828373908997
resume,letter,0.6450578570365906
resume,form,0.5935300588607788
resume,email,0.6606523394584656
resume,handwritten,0.5872761011123657
resume,advertisement,0.5417250990867615
resume,scientific report,0.5914247632026672
resume,scientific publication,0.620136022567749
resume,specification,0.5299155712127686
resume,file folder,0.5659663677215576
resume,news article,0.5913144946098328
resume,budget,0.5493204593658447
resume,invoice,0.5841647386550903
resume,presentation,0.6006765365600586
resume,questionnaire,0.5696935057640076
resume,memo,0.6422521471977234
memo,letter,0.7037961483001709
memo,form,0.622814953327179
memo,email,0.6815586090087891
memo,handwritten,0.6116278171539307
memo,advertisement,0.5648075342178345
memo,scientific report,0.6231213212013245
memo,scientific publication,0.6242173910140991
memo,specification,0.5460942387580872
memo,file folder,0.5938572287559509
memo,news article,0.6051375269889832
memo,budget,0.5700628757476807
memo,invoice,0.6125537157058716
memo,presentation,0.6284281015396118
memo,questionnaire,0.5987828373908997
memo,resume,0.6422521471977234
