Class,Top1,Top2,Top3,Top4,Top5
0,15,2,14,6,12
1,2,15,0,11,14
2,8,0,15,6,14
3,2,0,15,8,1
4,2,9,0,3,8
5,2,0,15,6,14
6,2,9,0,15,14
7,2,15,0,1,11
8,2,3,12,15,0
9,6,2,0,15,14
10,2,15,0,11,1
11,2,0,15,1,3
12,2,0,15,6,14
13,2,15,0,1,14
14,2,0,15,6,12
15,0,2,14,12,6
